circleRadius	direction	n	RT_mean	RT_raw										RT_std	choice_mean	choice_raw										choice_std	order									
3	-1	10.0	0.3983225107192993	0.467850923538208	 0.3702777326107025	 0.12413659691810608	 0.5615609884262085	 0.7343670129776001	 0.4294590353965759	 0.07414478808641434	 0.3460671901702881	 0.7037798762321472	 0.17158082127571106	0.229462809046902	0.6	1.0	 1.0	 0.0	 1.0	 1.0	 1.0	 0.0	 1.0	 0.0	 0.0	0.5163977794943223	0.0	 10.0	 17.0	 28.0	 34.0	 47.0	 53.0	 58.0	 67.0	 73.0
3	1	10.0	0.41455535888671874	0.34137555956840515	 0.2660066783428192	 0.04646924138069153	 0.599163293838501	 0.0920916497707367	 0.6119019389152527	 0.2611515522003174	 0.44911444187164307	 0.4844866991043091	 0.9937925934791565	0.27989109267292217	0.6	1.0	 0.0	 0.0	 0.0	 1.0	 1.0	 1.0	 1.0	 0.0	 1.0	0.5163977794943223	2.0	 13.0	 16.0	 29.0	 37.0	 45.0	 55.0	 59.0	 69.0	 77.0
8	-1	10.0	0.6364103794097901	0.9355382919311523	 0.7944369912147522	 0.6620714664459229	 0.8834954500198364	 0.8483823537826538	 0.6424204111099243	 0.22241470217704773	 0.30702266097068787	 0.8921945095062256	 0.17612673342227936	0.29407159479612344	0.6	1.0	 0.0	 0.0	 1.0	 1.0	 0.0	 1.0	 1.0	 0.0	 1.0	0.5163977794943223	7.0	 15.0	 21.0	 27.0	 39.0	 46.0	 49.0	 62.0	 65.0	 78.0
8	1	10.0	0.48616805076599123	0.045984454452991486	 0.06926626712083817	 0.12826955318450928	 0.23105497658252716	 0.8218908309936523	 0.7293168306350708	 0.8658878207206726	 0.5634133815765381	 0.680297315120697	 0.7262991070747375	0.3296592290170275	0.4	0.0	 1.0	 0.0	 0.0	 1.0	 0.0	 1.0	 1.0	 0.0	 0.0	0.5163977794943223	1.0	 11.0	 22.0	 26.0	 35.0	 43.0	 51.0	 63.0	 66.0	 72.0
13	-1	10.0	0.45557551383972167	0.07305018603801727	 0.863262414932251	 0.327153742313385	 0.693019449710846	 0.3453591465950012	 0.6001380085945129	 0.04764741659164429	 0.5909367799758911	 0.7056605219841003	 0.3095274865627289	0.27629543664125095	0.5	1.0	 0.0	 0.0	 1.0	 1.0	 1.0	 0.0	 1.0	 0.0	 0.0	0.5270462766947299	6.0	 8.0	 23.0	 25.0	 33.0	 42.0	 50.0	 61.0	 68.0	 76.0
13	1	10.0	0.388798189163208	0.6720570921897888	 0.0921226292848587	 0.43447253108024597	 0.4978783130645752	 0.14354358613491058	 0.4176539182662964	 0.933616042137146	 0.013116207905113697	 0.638615608215332	 0.044906020164489746	0.3094534782919955	0.6	1.0	 1.0	 0.0	 1.0	 1.0	 0.0	 0.0	 1.0	 1.0	 0.0	0.5163977794943223	4.0	 12.0	 20.0	 30.0	 36.0	 41.0	 48.0	 57.0	 64.0	 75.0
18	-1	10.0	0.49798059463500977	0.7313077449798584	 0.7215221524238586	 0.4874427914619446	 0.004386688582599163	 0.8924310207366943	 0.5242506861686707	 0.5925970673561096	 0.3557892441749573	 0.3823118805885315	 0.2877670228481293	0.2562939473694415	0.3	1.0	 0.0	 0.0	 1.0	 0.0	 0.0	 0.0	 1.0	 0.0	 0.0	0.4830458915396479	3.0	 14.0	 18.0	 31.0	 38.0	 44.0	 54.0	 56.0	 71.0	 79.0
18	1	10.0	0.5016839504241943	0.8069344758987427	 0.13292428851127625	 0.5761258602142334	 0.2975408732891083	 0.6672184467315674	 0.40139657258987427	 0.03064531274139881	 0.8857268691062927	 0.7257285118103027	 0.4925979971885681	0.28547848229194855	0.5	0.0	 1.0	 0.0	 0.0	 1.0	 1.0	 0.0	 1.0	 1.0	 0.0	0.5270462766947299	5.0	 9.0	 19.0	 24.0	 32.0	 40.0	 52.0	 60.0	 70.0	 74.0

extraInfo
participant	Nobody
session	001
﻿session	participant	TrialNumber	circleRadius	direction	ran	order	RT	choice
001	Nobody	64	8	1	1.0	63.0	0.5634134	1.0
001	Nobody	65	13	1	1.0	64.0	0.6386156	1.0
001	Nobody	66	8	-1	1.0	65.0	0.8921945	0.0
001	Nobody	67	8	1	1.0	66.0	0.6802973	0.0
001	Nobody	68	3	-1	1.0	67.0	0.7037799	0.0
001	Nobody	69	13	-1	1.0	68.0	0.7056605	0.0
001	Nobody	70	3	1	1.0	69.0	0.4844867	0.0
001	Nobody	71	18	1	1.0	70.0	0.7257285	1.0
001	Nobody	72	18	-1	1.0	71.0	0.38231188	0.0
001	Nobody	73	8	1	1.0	72.0	0.7262991	0.0
001	Nobody	74	3	-1	1.0	73.0	0.17158082	0.0
001	Nobody	75	18	1	1.0	74.0	0.492598	0.0
001	Nobody	76	13	1	1.0	75.0	0.04490602	0.0
001	Nobody	77	13	-1	1.0	76.0	0.3095275	0.0
001	Nobody	78	3	1	1.0	77.0	0.9937926	1.0
001	Nobody	79	8	-1	1.0	78.0	0.17612673	1.0
001	Nobody	80	18	-1	1.0	79.0	0.28776702	0.0
