session	participant	TrialNumber	sf	ori	ran	order	RT	choice
001	Nobody	55	0.5	120	1.0	54.0	1.1933322	0.0
001	Nobody	56	2.0	120	1.0	55.0	1.4843931	0.0
001	Nobody	57	0.5	90	1.0	56.0	0.59431577	1.0
001	Nobody	58	1.0	150	1.0	57.0	0.8166464	1.0
001	Nobody	59	2.0	90	1.0	58.0	1.1450092	1.0
001	Nobody	60	2.0	150	1.0	59.0	1.1676165	1.0
001	Nobody	61	0.5	150	1.0	60.0	1.1489457	1.0
001	Nobody	62	1.0	90	1.0	61.0	1.2522006	1.0
001	Nobody	63	1.0	120	1.0	62.0	1.03365	1.0
001	Nobody	64	0.5	120	1.0	63.0	0.7193768	0.0
001	Nobody	65	1.0	90	1.0	64.0	1.1702515	1.0
001	Nobody	66	0.5	150	1.0	65.0	0.7655837	0.0
001	Nobody	67	1.0	120	1.0	66.0	1.3656876	0.0
001	Nobody	68	2.0	120	1.0	67.0	1.3419386	1.0
001	Nobody	69	2.0	150	1.0	68.0	1.6845254	1.0
001	Nobody	70	1.0	150	1.0	69.0	0.70990855	0.0
001	Nobody	71	2.0	90	1.0	70.0	1.9919755	0.0
001	Nobody	72	0.5	90	1.0	71.0	1.0104398	1.0
001	Nobody	73	0.5	150	1.0	72.0	0.6466974	1.0
001	Nobody	74	1.0	120	1.0	73.0	0.8653543	1.0
001	Nobody	75	2.0	90	1.0	74.0	1.5661958	1.0
001	Nobody	76	2.0	120	1.0	75.0	1.2341806	0.0
001	Nobody	77	2.0	150	1.0	76.0	1.9503776	1.0
001	Nobody	78	1.0	90	1.0	77.0	1.436339	0.0
001	Nobody	79	0.5	120	1.0	78.0	0.88271374	1.0
001	Nobody	80	1.0	150	1.0	79.0	0.6597619	1.0
001	Nobody	81	0.5	90	1.0	80.0	1.2006769	1.0
001	Nobody	82	2.0	120	1.0	81.0	1.284599	1.0
001	Nobody	83	0.5	90	1.0	82.0	1.1951429	1.0
001	Nobody	84	1.0	90	1.0	83.0	1.193479	1.0
001	Nobody	85	0.5	150	1.0	84.0	1.0053302	0.0
001	Nobody	86	1.0	120	1.0	85.0	1.0780314	0.0
001	Nobody	87	0.5	120	1.0	86.0	0.8438075	0.0
001	Nobody	88	2.0	150	1.0	87.0	1.59355	1.0
001	Nobody	89	1.0	150	1.0	88.0	1.0304371	0.0
001	Nobody	90	2.0	90	1.0	89.0	1.2331802	1.0
﻿session	participant	TrialNumber	sf	ori	ran	order	RT	choice
001	Nobody	1	2.0	150	1.0	0.0	1.7326727	1.0
001	Nobody	2	0.5	120	1.0	1.0	0.6812248	1.0
001	Nobody	3	1.0	120	1.0	2.0	1.2947599	1.0
001	Nobody	4	2.0	120	1.0	3.0	1.3526691	0.0
001	Nobody	5	0.5	90	1.0	4.0	0.88707024	0.0
001	Nobody	6	2.0	90	1.0	5.0	1.7890424	0.0
001	Nobody	7	0.5	150	1.0	6.0	0.880663	0.0
001	Nobody	8	1.0	90	1.0	7.0	1.2613517	1.0
001	Nobody	9	1.0	150	1.0	8.0	0.6449344	1.0
001	Nobody	10	1.0	120	1.0	9.0	0.76213115	1.0
001	Nobody	11	2.0	90	1.0	10.0	1.5558213	0.0
001	Nobody	12	0.5	120	1.0	11.0	0.46283147	1.0
001	Nobody	13	0.5	150	1.0	12.0	0.48109853	1.0
001	Nobody	14	1.0	90	1.0	13.0	0.55285394	0.0
001	Nobody	15	0.5	90	1.0	14.0	0.4184948	1.0
001	Nobody	16	2.0	150	1.0	15.0	1.2179832	1.0
001	Nobody	17	2.0	120	1.0	16.0	1.0081301	0.0
001	Nobody	18	1.0	150	1.0	17.0	1.1497504	1.0
001	Nobody	19	2.0	150	1.0	18.0	1.0079688	1.0
001	Nobody	20	1.0	150	1.0	19.0	1.4583862	0.0
001	Nobody	21	0.5	120	1.0	20.0	1.0262499	0.0
001	Nobody	22	0.5	90	1.0	21.0	0.8461452	1.0
001	Nobody	23	2.0	120	1.0	22.0	1.6937025	0.0
001	Nobody	24	2.0	90	1.0	23.0	1.1980273	0.0
001	Nobody	25	1.0	120	1.0	24.0	1.2064221	0.0
001	Nobody	26	1.0	90	1.0	25.0	1.2391175	1.0
001	Nobody	27	0.5	150	1.0	26.0	0.44677722	1.0
001	Nobody	28	0.5	150	1.0	27.0	0.35654077	0.0
001	Nobody	29	1.0	150	1.0	28.0	0.84367424	1.0
001	Nobody	30	0.5	120	1.0	29.0	0.4333602	1.0
001	Nobody	31	1.0	120	1.0	30.0	1.2274662	1.0
001	Nobody	32	1.0	90	1.0	31.0	1.3340864	0.0
001	Nobody	33	2.0	120	1.0	32.0	1.9797974	1.0
001	Nobody	34	0.5	90	1.0	33.0	1.1573128	0.0
001	Nobody	35	2.0	150	1.0	34.0	1.7006239	0.0
001	Nobody	36	2.0	90	1.0	35.0	1.6219772	0.0
001	Nobody	37	0.5	150	1.0	36.0	1.0777217	0.0
001	Nobody	38	0.5	90	1.0	37.0	0.9234259	1.0
001	Nobody	39	2.0	120	1.0	38.0	1.0012237	1.0
001	Nobody	40	0.5	120	1.0	39.0	1.2413441	0.0
001	Nobody	41	1.0	150	1.0	40.0	1.4460592	1.0
001	Nobody	42	1.0	120	1.0	41.0	1.2139472	0.0
001	Nobody	43	2.0	150	1.0	42.0	1.3606651	0.0
001	Nobody	44	1.0	90	1.0	43.0	1.1493375	1.0
001	Nobody	45	2.0	90	1.0	44.0	1.6091341	1.0
001	Nobody	46	0.5	120	1.0	45.0	0.27934128	0.0
001	Nobody	47	2.0	120	1.0	46.0	1.2679543	1.0
001	Nobody	48	2.0	90	1.0	47.0	1.707927	1.0
001	Nobody	49	1.0	90	1.0	48.0	1.2462447	0.0
001	Nobody	50	0.5	90	1.0	49.0	0.3467653	1.0
001	Nobody	51	0.5	150	1.0	50.0	0.96035457	0.0
001	Nobody	52	1.0	150	1.0	51.0	1.2473829	0.0
001	Nobody	53	2.0	150	1.0	52.0	1.9082962	1.0
001	Nobody	54	1.0	120	1.0	53.0	0.8416316	1.0
001	Nobody	55	0.5	90	1.0	54.0	0.8591143	1.0
001	Nobody	56	0.5	150	1.0	55.0	0.4097569	1.0
001	Nobody	57	1.0	90	1.0	56.0	0.5528627	1.0
001	Nobody	58	1.0	120	1.0	57.0	0.97519225	0.0
001	Nobody	59	0.5	120	1.0	58.0	1.1630315	1.0
001	Nobody	60	2.0	150	1.0	59.0	1.5407687	1.0
001	Nobody	61	1.0	150	1.0	60.0	0.7668634	0.0
001	Nobody	62	2.0	120	1.0	61.0	1.1914724	0.0
001	Nobody	63	2.0	90	1.0	62.0	1.1111125	0.0
001	Nobody	64	2.0	150	1.0	63.0	1.7861446	1.0
001	Nobody	65	2.0	90	1.0	64.0	1.5962261	1.0
001	Nobody	66	1.0	150	1.0	65.0	0.55971724	0.0
001	Nobody	67	2.0	120	1.0	66.0	1.8363601	0.0
001	Nobody	68	0.5	150	1.0	67.0	1.0205232	1.0
001	Nobody	69	0.5	120	1.0	68.0	0.67221576	1.0
001	Nobody	70	0.5	90	1.0	69.0	0.52421814	1.0
001	Nobody	71	1.0	120	1.0	70.0	1.2477145	1.0
001	Nobody	72	1.0	90	1.0	71.0	0.98848367	0.0
001	Nobody	73	2.0	90	1.0	72.0	1.9061767	0.0
001	Nobody	74	1.0	90	1.0	73.0	0.56876683	0.0
001	Nobody	75	2.0	150	1.0	74.0	1.0350947	0.0
001	Nobody	76	2.0	120	1.0	75.0	1.6006635	1.0
001	Nobody	77	1.0	120	1.0	76.0	0.5693245	0.0
001	Nobody	78	0.5	90	1.0	77.0	0.62446064	1.0
001	Nobody	79	0.5	150	1.0	78.0	1.1237341	1.0
001	Nobody	80	1.0	150	1.0	79.0	1.2180917	0.0
001	Nobody	81	0.5	120	1.0	80.0	0.9037078	1.0
001	Nobody	82	1.0	90	1.0	81.0	1.1003168	0.0
001	Nobody	83	0.5	90	1.0	82.0	0.5566166	1.0
001	Nobody	84	2.0	90	1.0	83.0	1.4706442	1.0
001	Nobody	85	0.5	120	1.0	84.0	1.0041206	1.0
001	Nobody	86	0.5	150	1.0	85.0	1.0738869	1.0
001	Nobody	87	1.0	120	1.0	86.0	0.9244972	1.0
001	Nobody	88	1.0	150	1.0	87.0	0.53282475	1.0
001	Nobody	89	2.0	150	1.0	88.0	1.6701787	0.0
001	Nobody	90	2.0	120	1.0	89.0	1.6143416	1.0
﻿session	participant	TrialNumber	sf	ori	ran	order	RT	choice
001	Nobody	1	1.0	120	1.0	0.0	0.5692576	0.0
001	Nobody	2	1.0	150	1.0	1.0	0.7547069	1.0
001	Nobody	3	0.5	120	1.0	2.0	0.8445132	0.0
001	Nobody	4	0.5	90	1.0	3.0	0.48257366	1.0
001	Nobody	5	0.5	150	1.0	4.0	0.70872444	0.0
001	Nobody	6	2.0	120	1.0	5.0	1.588787	0.0
001	Nobody	7	2.0	150	1.0	6.0	1.8708684	1.0
001	Nobody	8	1.0	90	1.0	7.0	1.4998342	0.0
001	Nobody	9	2.0	90	1.0	8.0	1.6410947	0.0
001	Nobody	10	0.5	120	1.0	9.0	0.5810222	1.0
001	Nobody	11	2.0	90	1.0	10.0	1.0114596	1.0
001	Nobody	12	0.5	90	1.0	11.0	0.33830705	1.0
001	Nobody	13	1.0	150	1.0	12.0	1.2948798	0.0
001	Nobody	14	1.0	120	1.0	13.0	1.1131893	0.0
001	Nobody	15	2.0	120	1.0	14.0	1.1649543	1.0
001	Nobody	16	2.0	150	1.0	15.0	1.5476704	0.0
001	Nobody	17	0.5	150	1.0	16.0	0.38207123	1.0
001	Nobody	18	1.0	90	1.0	17.0	0.6010875	1.0
001	Nobody	19	1.0	90	1.0	18.0	1.1309042	1.0
001	Nobody	20	0.5	120	1.0	19.0	0.54391223	0.0
001	Nobody	21	2.0	120	1.0	20.0	1.1191822	1.0
001	Nobody	22	0.5	150	1.0	21.0	1.1969193	0.0
001	Nobody	23	1.0	120	1.0	22.0	1.2773333	0.0
001	Nobody	24	2.0	90	1.0	23.0	1.6003428	1.0
001	Nobody	25	2.0	150	1.0	24.0	1.6854626	0.0
001	Nobody	26	1.0	150	1.0	25.0	1.0200909	1.0
001	Nobody	27	0.5	90	1.0	26.0	0.32024607	1.0
001	Nobody	28	1.0	120	1.0	27.0	0.6256473	0.0
001	Nobody	29	2.0	90	1.0	28.0	1.337343	1.0
001	Nobody	30	2.0	120	1.0	29.0	1.3842905	1.0
001	Nobody	31	0.5	90	1.0	30.0	0.46934816	0.0
001	Nobody	32	1.0	90	1.0	31.0	1.316412	0.0
001	Nobody	33	0.5	150	1.0	32.0	0.3852716	0.0
001	Nobody	34	1.0	150	1.0	33.0	1.2294965	1.0
001	Nobody	35	0.5	120	1.0	34.0	0.5836013	0.0
001	Nobody	36	2.0	150	1.0	35.0	1.6488149	0.0
001	Nobody	37	1.0	150	1.0	36.0	1.2243261	0.0
001	Nobody	38	2.0	120	1.0	37.0	1.3682195	0.0
001	Nobody	39	1.0	90	1.0	38.0	1.1397437	0.0
001	Nobody	40	0.5	150	1.0	39.0	1.2354274	0.0
001	Nobody	41	0.5	120	1.0	40.0	0.32989877	1.0
001	Nobody	42	2.0	150	1.0	41.0	1.304914	0.0
001	Nobody	43	0.5	90	1.0	42.0	0.5173441	1.0
001	Nobody	44	2.0	90	1.0	43.0	1.2085798	1.0
001	Nobody	45	1.0	120	1.0	44.0	1.184148	1.0
001	Nobody	46	2.0	120	1.0	45.0	1.1355101	1.0
001	Nobody	47	2.0	90	1.0	46.0	1.130659	0.0
001	Nobody	48	0.5	150	1.0	47.0	0.9994925	0.0
001	Nobody	49	1.0	120	1.0	48.0	1.0998914	1.0
001	Nobody	50	0.5	120	1.0	49.0	0.6268705	0.0
001	Nobody	51	0.5	90	1.0	50.0	0.3416086	0.0
001	Nobody	52	1.0	150	1.0	51.0	0.90298116	0.0
001	Nobody	53	1.0	90	1.0	52.0	0.63452363	0.0
001	Nobody	54	2.0	150	1.0	53.0	1.8194325	0.0
001	Nobody	55	1.0	150	1.0	54.0	1.0283161	1.0
001	Nobody	56	2.0	120	1.0	55.0	1.6080995	0.0
001	Nobody	57	1.0	120	1.0	56.0	1.3347995	1.0
001	Nobody	58	0.5	150	1.0	57.0	0.35076258	1.0
001	Nobody	59	2.0	150	1.0	58.0	1.0589789	0.0
001	Nobody	60	1.0	90	1.0	59.0	0.6447574	0.0
001	Nobody	61	0.5	90	1.0	60.0	1.0105443	1.0
001	Nobody	62	2.0	90	1.0	61.0	1.8407493	0.0
001	Nobody	63	0.5	120	1.0	62.0	0.9452974	0.0
001	Nobody	64	2.0	90	1.0	63.0	1.0684085	0.0
001	Nobody	65	2.0	120	1.0	64.0	1.3874618	1.0
001	Nobody	66	1.0	150	1.0	65.0	0.7829254	1.0
001	Nobody	67	0.5	120	1.0	66.0	0.6044479	0.0
001	Nobody	68	2.0	150	1.0	67.0	1.6949068	0.0
001	Nobody	69	0.5	90	1.0	68.0	0.45676878	1.0
001	Nobody	70	1.0	90	1.0	69.0	0.80944365	1.0
001	Nobody	71	0.5	150	1.0	70.0	1.168115	0.0
001	Nobody	72	1.0	120	1.0	71.0	1.1866626	1.0
001	Nobody	73	0.5	90	1.0	72.0	1.1446973	1.0
001	Nobody	74	1.0	90	1.0	73.0	0.7429975	0.0
001	Nobody	75	0.5	120	1.0	74.0	0.7865861	0.0
001	Nobody	76	1.0	120	1.0	75.0	0.7295179	1.0
001	Nobody	77	2.0	90	1.0	76.0	1.9312664	0.0
001	Nobody	78	0.5	150	1.0	77.0	0.70229334	0.0
001	Nobody	79	1.0	150	1.0	78.0	0.68606514	0.0
001	Nobody	80	2.0	120	1.0	79.0	1.1552504	1.0
001	Nobody	81	2.0	150	1.0	80.0	1.8969791	1.0
001	Nobody	82	0.5	150	1.0	81.0	0.7091124	0.0
001	Nobody	83	2.0	90	1.0	82.0	1.3492554	1.0
001	Nobody	84	1.0	150	1.0	83.0	0.6415702	1.0
001	Nobody	85	2.0	120	1.0	84.0	1.8340423	0.0
001	Nobody	86	0.5	90	1.0	85.0	0.9455222	0.0
001	Nobody	87	1.0	90	1.0	86.0	0.58151484	1.0
001	Nobody	88	2.0	150	1.0	87.0	1.2243341	0.0
001	Nobody	89	1.0	120	1.0	88.0	1.3292829	0.0
001	Nobody	90	0.5	120	1.0	89.0	1.1603215	1.0
﻿session	participant	TrialNumber	sf	ori	ran	order	RT	choice
001	Nobody	1	0.5	150	1.0	0.0	0.7285019	1.0
001	Nobody	2	2.0	150	1.0	1.0	1.9910972	0.0
001	Nobody	3	0.5	90	1.0	2.0	1.1606516	1.0
001	Nobody	4	1.0	150	1.0	3.0	1.1800908	1.0
001	Nobody	5	2.0	120	1.0	4.0	1.2857428	1.0
001	Nobody	6	1.0	90	1.0	5.0	1.3359832	1.0
001	Nobody	7	2.0	90	1.0	6.0	1.7629712	1.0
001	Nobody	8	0.5	120	1.0	7.0	1.040338	1.0
001	Nobody	9	1.0	120	1.0	8.0	0.735628	0.0
001	Nobody	10	2.0	150	1.0	9.0	1.6683056	1.0
001	Nobody	11	0.5	90	1.0	10.0	0.2736799	0.0
001	Nobody	12	0.5	120	1.0	11.0	1.1812265	1.0
001	Nobody	13	0.5	150	1.0	12.0	0.56905174	1.0
001	Nobody	14	2.0	90	1.0	13.0	1.6262323	1.0
001	Nobody	15	2.0	120	1.0	14.0	1.1909006	0.0
001	Nobody	16	1.0	150	1.0	15.0	0.9522355	0.0
001	Nobody	17	1.0	90	1.0	16.0	0.57626265	1.0
001	Nobody	18	1.0	120	1.0	17.0	1.4482535	0.0
001	Nobody	19	2.0	90	1.0	18.0	1.3926141	0.0
001	Nobody	20	1.0	150	1.0	19.0	1.3144599	1.0
001	Nobody	21	0.5	90	1.0	20.0	0.6780791	0.0
001	Nobody	22	1.0	90	1.0	21.0	1.0209314	1.0
001	Nobody	23	1.0	120	1.0	22.0	1.169101	0.0
001	Nobody	24	0.5	150	1.0	23.0	1.0346705	1.0
001	Nobody	25	2.0	120	1.0	24.0	1.3852825	1.0
001	Nobody	26	0.5	120	1.0	25.0	0.52079177	1.0
001	Nobody	27	2.0	150	1.0	26.0	1.3309932	1.0
001	Nobody	28	0.5	120	1.0	27.0	0.8898122	0.0
001	Nobody	29	1.0	150	1.0	28.0	0.71169794	1.0
001	Nobody	30	2.0	90	1.0	29.0	1.0010961	1.0
001	Nobody	31	0.5	150	1.0	30.0	0.8190311	0.0
001	Nobody	32	2.0	120	1.0	31.0	1.5762178	1.0
001	Nobody	33	2.0	150	1.0	32.0	1.9685532	1.0
001	Nobody	34	1.0	120	1.0	33.0	1.2522159	1.0
001	Nobody	35	0.5	90	1.0	34.0	1.0420424	0.0
001	Nobody	36	1.0	90	1.0	35.0	0.85131484	0.0
001	Nobody	37	1.0	90	1.0	36.0	0.6793117	1.0
001	Nobody	38	0.5	120	1.0	37.0	0.8212315	1.0
001	Nobody	39	2.0	90	1.0	38.0	1.9821595	1.0
001	Nobody	40	1.0	150	1.0	39.0	0.5736349	1.0
001	Nobody	41	2.0	150	1.0	40.0	1.2450762	0.0
001	Nobody	42	1.0	120	1.0	41.0	1.2108668	1.0
001	Nobody	43	0.5	90	1.0	42.0	1.1032758	0.0
001	Nobody	44	0.5	150	1.0	43.0	0.6661222	0.0
001	Nobody	45	2.0	120	1.0	44.0	1.0205914	0.0
001	Nobody	46	2.0	120	1.0	45.0	1.2216833	1.0
001	Nobody	47	1.0	120	1.0	46.0	1.4774449	1.0
001	Nobody	48	2.0	150	1.0	47.0	1.6549035	1.0
001	Nobody	49	1.0	90	1.0	48.0	1.2577635	1.0
001	Nobody	50	0.5	150	1.0	49.0	0.46746764	1.0
001	Nobody	51	1.0	150	1.0	50.0	1.319628	0.0
001	Nobody	52	0.5	120	1.0	51.0	0.87814736	0.0
001	Nobody	53	0.5	90	1.0	52.0	0.8013423	0.0
001	Nobody	54	2.0	90	1.0	53.0	1.6512268	1.0
001	Nobody	55	2.0	120	1.0	54.0	1.5881058	1.0
001	Nobody	56	0.5	120	1.0	55.0	0.46975434	1.0
001	Nobody	57	0.5	150	1.0	56.0	0.2561776	0.0
001	Nobody	58	0.5	90	1.0	57.0	1.1620663	1.0
001	Nobody	59	2.0	90	1.0	58.0	1.7044098	1.0
001	Nobody	60	1.0	120	1.0	59.0	0.7905969	0.0
001	Nobody	61	1.0	90	1.0	60.0	0.67768234	1.0
001	Nobody	62	1.0	150	1.0	61.0	0.5024811	1.0
001	Nobody	63	2.0	150	1.0	62.0	1.1783623	0.0
001	Nobody	64	1.0	90	1.0	63.0	0.5316435	0.0
001	Nobody	65	0.5	150	1.0	64.0	0.6019668	1.0
001	Nobody	66	1.0	120	1.0	65.0	1.025992	1.0
001	Nobody	67	1.0	150	1.0	66.0	0.64330816	1.0
001	Nobody	68	0.5	90	1.0	67.0	1.128237	0.0
001	Nobody	69	2.0	150	1.0	68.0	1.2058198	0.0
001	Nobody	70	2.0	90	1.0	69.0	1.2413206	1.0
001	Nobody	71	2.0	120	1.0	70.0	1.0333127	0.0
001	Nobody	72	0.5	120	1.0	71.0	0.5609676	0.0
001	Nobody	73	0.5	120	1.0	72.0	0.7163122	0.0
001	Nobody	74	2.0	90	1.0	73.0	1.2215405	1.0
001	Nobody	75	1.0	120	1.0	74.0	0.8842653	1.0
001	Nobody	76	1.0	150	1.0	75.0	1.0188602	1.0
001	Nobody	77	2.0	150	1.0	76.0	1.4425728	1.0
001	Nobody	78	1.0	90	1.0	77.0	0.96115315	0.0
001	Nobody	79	0.5	150	1.0	78.0	1.0165323	1.0
001	Nobody	80	0.5	90	1.0	79.0	0.610543	0.0
001	Nobody	81	2.0	120	1.0	80.0	1.0763909	1.0
001	Nobody	82	1.0	90	1.0	81.0	0.60256004	1.0
001	Nobody	83	0.5	120	1.0	82.0	0.3076013	1.0
001	Nobody	84	2.0	90	1.0	83.0	1.7480621	0.0
001	Nobody	85	2.0	120	1.0	84.0	1.6421431	0.0
001	Nobody	86	1.0	120	1.0	85.0	1.3684514	0.0
001	Nobody	87	0.5	90	1.0	86.0	0.50328827	0.0
001	Nobody	88	1.0	150	1.0	87.0	1.3598237	0.0
001	Nobody	89	0.5	150	1.0	88.0	0.948442	1.0
001	Nobody	90	2.0	150	1.0	89.0	1.9716711	0.0
﻿session	participant	TrialNumber	sf	ori	ran	order	RT	choice
001	Nobody	1	2.0	90	1.0	0.0	1.6694212	0.0
001	Nobody	2	2.0	120	1.0	1.0	1.4929137	0.0
001	Nobody	3	0.5	150	1.0	2.0	1.1795352	1.0
001	Nobody	4	2.0	150	1.0	3.0	1.0710516	1.0
001	Nobody	5	1.0	150	1.0	4.0	0.6073438	1.0
001	Nobody	6	1.0	120	1.0	5.0	0.66997486	1.0
001	Nobody	7	0.5	120	1.0	6.0	0.7631704	1.0
001	Nobody	8	0.5	90	1.0	7.0	0.9063978	0.0
001	Nobody	9	1.0	90	1.0	8.0	1.4054447	0.0
001	Nobody	10	0.5	90	1.0	9.0	0.58759433	0.0
001	Nobody	11	2.0	120	1.0	10.0	1.8158687	0.0
001	Nobody	12	1.0	90	1.0	11.0	1.1144888	1.0
001	Nobody	13	2.0	150	1.0	12.0	1.2252122	0.0
001	Nobody	14	2.0	90	1.0	13.0	1.9411591	1.0
001	Nobody	15	1.0	120	1.0	14.0	0.9541333	0.0
001	Nobody	16	0.5	120	1.0	15.0	1.2061102	1.0
001	Nobody	17	1.0	150	1.0	16.0	1.2460663	0.0
001	Nobody	18	0.5	150	1.0	17.0	0.76881015	1.0
001	Nobody	19	2.0	150	1.0	18.0	1.9305444	0.0
001	Nobody	20	1.0	120	1.0	19.0	0.9300741	1.0
001	Nobody	21	1.0	150	1.0	20.0	0.6786147	0.0
001	Nobody	22	0.5	90	1.0	21.0	0.7646968	1.0
001	Nobody	23	2.0	90	1.0	22.0	1.8362223	0.0
001	Nobody	24	0.5	120	1.0	23.0	1.0446278	1.0
001	Nobody	25	0.5	150	1.0	24.0	0.6950099	0.0
001	Nobody	26	2.0	120	1.0	25.0	1.3224887	0.0
001	Nobody	27	1.0	90	1.0	26.0	1.4699948	0.0
001	Nobody	28	0.5	150	1.0	27.0	0.9092616	1.0
001	Nobody	29	1.0	120	1.0	28.0	1.117111	0.0
001	Nobody	30	0.5	120	1.0	29.0	1.0751557	0.0
001	Nobody	31	2.0	120	1.0	30.0	1.0907363	0.0
001	Nobody	32	0.5	90	1.0	31.0	0.86017025	1.0
001	Nobody	33	2.0	90	1.0	32.0	1.0124758	0.0
001	Nobody	34	1.0	150	1.0	33.0	1.3542022	1.0
001	Nobody	35	2.0	150	1.0	34.0	1.002956	0.0
001	Nobody	36	1.0	90	1.0	35.0	1.4702812	1.0
001	Nobody	37	2.0	120	1.0	36.0	1.9872078	0.0
001	Nobody	38	0.5	120	1.0	37.0	1.0976001	0.0
001	Nobody	39	2.0	150	1.0	38.0	1.1979749	0.0
001	Nobody	40	0.5	150	1.0	39.0	0.44739392	1.0
001	Nobody	41	0.5	90	1.0	40.0	0.3924254	0.0
001	Nobody	42	1.0	150	1.0	41.0	0.6004227	1.0
001	Nobody	43	1.0	120	1.0	42.0	0.8163257	1.0
001	Nobody	44	1.0	90	1.0	43.0	1.3959402	1.0
001	Nobody	45	2.0	90	1.0	44.0	1.0653228	1.0
001	Nobody	46	2.0	120	1.0	45.0	1.5802857	0.0
001	Nobody	47	0.5	150	1.0	46.0	0.3931768	1.0
001	Nobody	48	1.0	120	1.0	47.0	0.88908863	0.0
001	Nobody	49	0.5	120	1.0	48.0	0.35319155	1.0
001	Nobody	50	2.0	150	1.0	49.0	1.8683511	0.0
001	Nobody	51	1.0	90	1.0	50.0	1.2844528	1.0
001	Nobody	52	0.5	90	1.0	51.0	0.6827696	0.0
001	Nobody	53	2.0	90	1.0	52.0	1.9429512	0.0
001	Nobody	54	1.0	150	1.0	53.0	1.1344454	0.0
001	Nobody	55	0.5	90	1.0	54.0	1.0144135	1.0
001	Nobody	56	1.0	90	1.0	55.0	1.447158	0.0
001	Nobody	57	2.0	120	1.0	56.0	1.7463063	1.0
001	Nobody	58	1.0	150	1.0	57.0	0.53151697	0.0
001	Nobody	59	0.5	150	1.0	58.0	0.35371625	0.0
